;FW_ID;Hab;Trophic;d13C_observed;d15N_observed;d13C_predicted;d15N_predicted;Ecosystem_Type
110;FWB_119;Pelagic;Primary_resource;NA;NA;-26,77624154;6,617851403;Lentic
111;FWB_119;Benthic;Primary_resource;NA;NA;-22,12609864;5,765761013;Lentic
112;FWB_119;Benthic;Primary_consumer;NA;NA;-24,56523327;7,775808618;Lentic
113;FWB_12;Pelagic;Primary_resource;NA;NA;-25,77274753;2,754854963;Lentic
114;FWB_12;Benthic;Primary_resource;NA;NA;-22,59874193;1,902764573;Lentic
115;FWB_12;Pelagic;Primary_consumer;NA;NA;-28,21188216;4,764902569;Lentic
116;FWB_12;Benthic;Primary_consumer;NA;NA;-25,03787656;3,912812178;Lentic
117;FWB_120;Pelagic;Primary_resource;NA;NA;-26,77624154;6,617851403;Lentic
118;FWB_120;Benthic;Primary_resource;NA;NA;-22,12609864;5,765761013;Lentic
119;FWB_120;Pelagic;Primary_consumer;NA;NA;-29,21537616;8,627899008;Lentic
120;FWB_120;Benthic;Primary_consumer;NA;NA;-24,56523327;7,775808618;Lentic
121;FWB_121;Pelagic;Primary_resource;NA;NA;-26,94246249;7,619157031;Lentic
122;FWB_121;Benthic;Primary_resource;NA;NA;-21,64925545;6,767066641;Lentic
123;FWB_121;Pelagic;Primary_consumer;NA;NA;-29,38159712;9,629204636;Lentic
124;FWB_121;Benthic;Primary_consumer;NA;NA;-24,08839007;8,777114246;Lentic
125;FWB_122;Pelagic;Primary_resource;NA;NA;-26,94246249;7,619157031;Lentic
126;FWB_122;Benthic;Primary_resource;NA;NA;-21,64925545;6,767066641;Lentic
127;FWB_122;Pelagic;Primary_consumer;NA;NA;-29,38159712;9,629204636;Lentic
128;FWB_122;Benthic;Primary_consumer;NA;NA;-24,08839007;8,777114246;Lentic
129;FWB_123;Pelagic;Primary_consumer;-29,7090301;3,01321661;-28,19567595;4,959393786;Lentic
130;FWB_123;Pelagic;Primary_resource;NA;NA;-25,75654132;2,949346181;Lentic
131;FWB_123;Benthic;Primary_resource;NA;NA;-22,39631045;2,09725579;Lentic
132;FWB_123;Benthic;Primary_consumer;NA;NA;-24,83544507;4,107303396;Lentic
133;FWB_124;Pelagic;Primary_consumer;-26,5;4,8;-24,63047172;5,986036437;Lentic
134;FWB_124;Benthic;Primary_resource;-15,99;2,3;-17,14966631;3,123898441;Lentic
135;FWB_124;Benthic;Primary_consumer;-17,23;3,71;-19,58880093;5,133946047;Lentic
136;FWB_124;Pelagic;Primary_resource;-27,21;4;-22,1913371;3,975988831;Lentic
137;FWB_125;Benthic;Primary_consumer;-15,70439821;NA;-17,20931825;2,827010025;Lentic
138;FWB_125;Pelagic;Primary_consumer;-21,80158861;NA;-21,24495821;3,679100415;Lentic
139;FWB_125;Benthic;Primary_resource;-12,81411331;NA;-14,77018363;0,81696242;Lentic
140;FWB_125;Pelagic;Primary_resource;NA;NA;-18,80582359;1,66905281;Lentic
141;FWB_126;Benthic;Primary_resource;-23,88995215;2,752066116;-19,62267101;7,621987024;Lentic
142;FWB_126;Pelagic;Primary_consumer;-29,33014354;11,00826446;-25,29098766;10,48412502;Lentic
143;FWB_126;Benthic;Primary_consumer;-27,03349282;11,00826446;-22,06180563;9,63203463;Lentic
144;FWB_126;Pelagic;Primary_resource;NA;NA;-22,85185304;8,474077414;Lentic
145;FWB_127;Benthic;Primary_resource;-24,20143885;8,181818182;-19,62267101;7,621987024;Lentic
146;FWB_127;Pelagic;Primary_consumer;-28,17266187;10,0661157;-25,29098766;10,48412502;Lentic
147;FWB_127;Benthic;Primary_consumer;-24,31654676;10,72727273;-22,06180563;9,63203463;Lentic
148;FWB_127;Pelagic;Primary_resource;NA;NA;-22,85185304;8,474077414;Lentic
149;FWB_128;Pelagic;Primary_consumer;-31,12;10,7;-32,30568498;10,31792188;Lentic
150;FWB_128;Benthic;Primary_consumer;-29,725;10,505;-29,96544663;9,465831486;Lentic
151;FWB_128;Benthic;Primary_resource;-25,23;8,57;-27,52631201;7,455783881;Lentic
152;FWB_128;Pelagic;Primary_resource;NA;NA;-29,86655035;8,307874271;Lentic
153;FWB_13;Pelagic;Primary_resource;NA;NA;-25,77275224;2,754852991;Lentic
154;FWB_13;Benthic;Primary_resource;NA;NA;-22,59874904;1,902762601;Lentic
155;FWB_13;Pelagic;Primary_consumer;NA;NA;-28,21188686;4,764900597;Lentic
156;FWB_13;Benthic;Primary_consumer;NA;NA;-25,03788367;3,912810206;Lentic
157;FWB_130;Pelagic;Primary_consumer;-30,4;3,4;-32,278131;3,671164643;Lotic
158;FWB_130;Benthic;Primary_consumer;-31,275;3,2;-30,12671401;4,239635606;Lotic
159;FWB_130;Benthic;Primary_resource;-32,2;1,9;-29,81555759;2,548592831;Lotic
160;FWB_130;Pelagic;Primary_resource;NA;NA;-31,96697457;1,980121867;Lotic
161;FWB_131;Benthic;Primary_consumer;-31,275;3,2;-30,12671401;4,239635606;Lotic
162;FWB_131;Pelagic;Primary_consumer;-30,4;3,4;-32,278131;3,671164643;Lotic
163;FWB_131;Benthic;Primary_resource;-32,2;1,9;-29,81555759;2,548592831;Lotic
164;FWB_131;Pelagic;Primary_resource;NA;NA;-31,96697457;1,980121867;Lotic
165;FWB_132;Benthic;Primary_consumer;-33,12;2,82;-30,92484717;4,606928516;Lentic
166;FWB_132;Pelagic;Primary_consumer;-33,1;3;-34,25988644;5,459018906;Lentic
167;FWB_132;Pelagic;Primary_resource;-28,2;1,2;-31,82075182;3,4489713;Lentic
168;FWB_132;Benthic;Primary_resource;-28,12857143;1,5;-28,48571254;2,59688091;Lentic
169;FWB_133;Pelagic;Primary_resource;-28,2;1,2;-31,82075182;3,4489713;Lentic
170;FWB_133;Benthic;Primary_consumer;-33,12;2,82;-30,92484717;4,606928516;Lentic
171;FWB_133;Pelagic;Primary_consumer;-33,1;3;-34,25988644;5,459018906;Lentic
172;FWB_133;Benthic;Primary_resource;-26,75;1,166666667;-28,48571254;2,59688091;Lentic
173;FWB_134;Benthic;Primary_consumer;-20,3;5;-22,57177754;5,503988309;Lentic
174;FWB_134;Pelagic;Primary_consumer;-21,7;8,6;-26,13031634;6,356078699;Lentic
175;FWB_134;Pelagic;Primary_resource;NA;NA;-23,69118172;4,346031094;Lentic
176;FWB_134;Benthic;Primary_resource;NA;NA;-20,13264291;3,493940703;Lentic
177;FWB_135;Pelagic;Primary_resource;NA;NA;-28,20880754;2,187658365;Lentic
178;FWB_135;Benthic;Primary_resource;NA;NA;-26,12878193;1,335567975;Lentic
179;FWB_135;Pelagic;Primary_consumer;NA;NA;-30,64794216;4,19770597;Lentic
180;FWB_135;Benthic;Primary_consumer;NA;NA;-28,56791655;3,34561558;Lentic
