"";"FW_ID";"Resource_habitat";"Resource_trophic_group";"d13C_baseline";"d15N_baseline";"Ecosystem_Type";"Latitude";"Longitude";"Elevation";"Lake_area_km2";"dis_m3_pyr";"tmp_dc_lyr";"pre_mm_lyr";"pop_ct_vsu";"soc_th_uav";"Res_time";"hft_ix_v09"
"52";"FWB_132";"Pelagic";"Primary_resource";-28,2;1,2;"Lentic";-6,7128;140,8891;14;1;3,898;266;3323;0,031;43;7,7;16
"53";"FWB_132";"Benthic";"Primary_resource";-28,1285714285714;1,5;"Lentic";-6,7128;140,8891;14;1;3,898;266;3323;0,031;43;7,7;16
"54";"FWB_133";"Pelagic";"Primary_resource";-28,2;1,2;"Lentic";-6,7128;140,8891;14;1;3,898;266;3323;0,031;43;7,7;16
"55";"FWB_133";"Benthic";"Primary_consumer";-33,12;2,82;"Lentic";-6,7128;140,8891;14;1;3,898;266;3323;0,031;43;7,7;16
"56";"FWB_133";"Pelagic";"Primary_consumer";-33,1;3;"Lentic";-6,7128;140,8891;14;1;3,898;266;3323;0,031;43;7,7;16
"57";"FWB_133";"Benthic";"Primary_resource";-26,75;1,16666666666667;"Lentic";-6,7128;140,8891;14;1;3,898;266;3323;0,031;43;7,7;16
"58";"FWB_134";"Benthic";"Primary_consumer";-20,3;5;"Lentic";1,768603;30,987633;615;5526,92;2170,65;253;917;241,944;24;736,7;96
"59";"FWB_134";"Pelagic";"Primary_consumer";-21,7;8,6;"Lentic";1,768603;30,987633;615;5526,92;2170,65;253;917;241,944;24;736,7;96
"60";"FWB_164";"Pelagic";"Primary_consumer";-30,82;7,93;"Lentic";-3,555053;-52,529053;110;0,19;0,092;255;1920;0,035;20;59,5;7
"61";"FWB_164";"Benthic";"Primary_consumer";-24,32;7,9;"Lentic";-3,555053;-52,529053;110;0,19;0,092;255;1920;0,035;20;59,5;7
"62";"FWB_164";"Benthic";"Primary_resource";-26,658;6,118;"Lentic";-3,555053;-52,529053;110;0,19;0,092;255;1920;0,035;20;59,5;7
"63";"FWB_172";"Pelagic";"Primary_consumer";-36,5;10;"Lentic";45,85;6,166667;447;25,54;5,617;102;916;94,391;73;1607,8;269
"64";"FWB_174";"Benthic";"Primary_consumer";-33,2;6,15;"Lentic";45,85;6,166667;447;25,54;5,617;102;916;94,391;73;1607,8;269
"65";"FWB_174";"Benthic";"Primary_resource";-20,6;2,3;"Lentic";45,85;6,166667;447;25,54;5,617;102;916;94,391;73;1607,8;269
"66";"FWB_174";"Pelagic";"Primary_consumer";-35,65;8,75;"Lentic";45,85;6,166667;447;25,54;5,617;102;916;94,391;73;1607,8;269
"67";"FWB_178";"Pelagic";"Primary_consumer";-30,9;6,1;"Lentic";47,53271;-92,006639;469;0,3;0,091;31;727;0,002;86;98,3;33
"68";"FWB_178";"Benthic";"Primary_resource";-25,4777777777778;3,68888888888889;"Lentic";47,53271;-92,006639;469;0,3;0,091;31;727;0,002;86;98,3;33
"69";"FWB_178";"Benthic";"Primary_consumer";-30,9;5,1;"Lentic";47,53271;-92,006639;469;0,3;0,091;31;727;0,002;86;98,3;33
"70";"FWB_178";"Pelagic";"Primary_resource";-31,2;2,8;"Lentic";47,53271;-92,006639;469;0,3;0,091;31;727;0,002;86;98,3;33
"71";"FWB_179";"Pelagic";"Primary_consumer";-28,6;3;"Lentic";47,53271;-89,548415;179;81843,9;2869,95;37;801;231,72;91;48410,3;62
"72";"FWB_179";"Pelagic";"Primary_resource";-26,9;0,75;"Lentic";47,53271;-89,548415;179;81843,9;2869,95;37;801;231,72;91;48410,3;62
"73";"FWB_182";"Pelagic";"Primary_consumer";-25,1333333333333;11,6333333333333;"Lentic";31,246;120,192;0;2329,14;303,606;158;1053;1125,56;20;195,9;225
"74";"FWB_182";"Pelagic";"Primary_resource";-23,1;8,5;"Lentic";31,246;120,192;0;2329,14;303,606;158;1053;1125,56;20;195,9;225
"75";"FWB_182";"Benthic";"Primary_resource";-16,3333333333333;7,4;"Lentic";31,246;120,192;0;2329,14;303,606;158;1053;1125,56;20;195,9;225
"76";"FWB_182";"Benthic";"Primary_consumer";-18,1;9,83333333333333;"Lentic";31,246;120,192;0;2329,14;303,606;158;1053;1125,56;20;195,9;225
"77";"FWB_188";"Pelagic";"Primary_consumer";-28,3651315789473;12,2236842105263;"Lentic";47,6097;-122,259383;1;83,77;54,017;111;966;420,552;91;611,1;389
"78";"FWB_188";"Benthic";"Primary_consumer";-18,4868421052631;10,6052631578947;"Lentic";47,6097;-122,259383;1;83,77;54,017;111;966;420,552;91;611,1;389
"79";"FWB_2";"Benthic";"Primary_consumer";-32,3;3,99;"Lentic";68,123011;-106,587328;15;3,46;0,022;-136;140;0;123;19322,1;6
"80";"FWB_2";"Pelagic";"Primary_consumer";-32,6;8,38;"Lentic";68,123011;-106,587328;15;3,46;0,022;-136;140;0;123;19322,1;6
"81";"FWB_200";"Benthic";"Primary_consumer";-34,7;-0,1;"Lentic";11,575225;-8,181782;345;335,77;336,697;272;1149;46,574;18;74,6;88
"82";"FWB_200";"Benthic";"Primary_resource";-25;1,5;"Lentic";11,575225;-8,181782;345;335,77;336,697;272;1149;46,574;18;74,6;88
"83";"FWB_200";"Pelagic";"Primary_consumer";-22,8;4,8;"Lentic";11,575225;-8,181782;345;335,77;336,697;272;1149;46,574;18;74,6;88
"84";"FWB_210";"Pelagic";"Primary_consumer";-28,245;4,21;"Lentic";63,166667;-92,6;35;0,25;0,004;-120;273;0;182;2046,4;0
"85";"FWB_210";"Benthic";"Primary_resource";-17,14;1,65;"Lentic";63,166667;-92,6;35;0,25;0,004;-120;273;0;182;2046,4;0
"86";"FWB_210";"Benthic";"Primary_consumer";-19,575;6,49;"Lentic";63,166667;-92,6;35;0,25;0,004;-120;273;0;182;2046,4;0
"87";"FWB_212";"Pelagic";"Primary_consumer";-27,5924837612124;8,86792452830189;"Lentic";44,900833;-85,5;175;57726,8;1877,75;76;822;1855,47;47;29956;165
"88";"FWB_213";"Benthic";"Primary_consumer";-29,3557885247331;13,3503649635036;"Lentic";42,117939;-90,159131;179;0,44;0,012;87;880;0,068;40;1155,9;141
"89";"FWB_213";"Benthic";"Primary_resource";-19,5220092864551;14,2530413625304;"Lentic";42,117939;-90,159131;179;0,44;0,012;87;880;0,068;40;1155,9;141
"90";"FWB_213";"Pelagic";"Primary_consumer";-30,0177392619303;13,639902676399;"Lentic";42,117939;-90,159131;179;0,44;0,012;87;880;0,068;40;1155,9;141
"91";"FWB_213";"Pelagic";"Primary_resource";-26,8821066100561;11,0510948905109;"Lentic";42,117939;-90,159131;179;0,44;0,012;87;880;0,068;40;1155,9;141
"92";"FWB_214";"Pelagic";"Primary_consumer";-30,5333333333332;11,8963414634146;"Lentic";38,954503;-90,417889;129;0,51;0,095;124;956;0,457;25;128,3;127
"93";"FWB_214";"Benthic";"Primary_consumer";-31,9333333333333;10,4024390243902;"Lentic";38,954503;-90,417889;129;0,51;0,095;124;956;0,457;25;128,3;127
"94";"FWB_214";"Benthic";"Primary_resource";-22,6;12,7073170731707;"Lentic";38,954503;-90,417889;129;0,51;0,095;124;956;0,457;25;128,3;127
"95";"FWB_214";"Pelagic";"Primary_resource";-26,7999999999999;13,6463414634146;"Lentic";38,954503;-90,417889;129;0,51;0,095;124;956;0,457;25;128,3;127
"96";"FWB_215";"Pelagic";"Primary_consumer";-15,0697674418604;7,23577235772357;"Lentic";28,623547;-81,624881;17;123,31;5,097;218;1240;26,739;28;3025,4;247
"97";"FWB_215";"Benthic";"Primary_resource";-26,9302325581395;3,82113821138211;"Lentic";28,623547;-81,624881;17;123,31;5,097;218;1240;26,739;28;3025,4;247
